date,max_temp,min_temp
2026-09-06,12.5,5.2
2026-09-07,15.5,5.2
2026-09-08,20.9,4.0
2026-09-09,23.1,10.5
2026-09-10,24.2,11.9
2026-09-11,22.5,8.2
2026-09-12,21.8,6.3
